apartment_id,city,floor_number,area_sqm,number_of_rooms,number_of_bathrooms,finishing_status,price_egp,price_per_sqm,is_fake
APT00839,القاهرة,7,120,4,3,Unfinished,2561000,21341,0
APT03907,الغردقة,4,130,4,2,Fully Finished,4029000,30992,0
APT03774,الإسكندرية,0,150,3,2,Super Lux,3516000,23440,0
APT04636,شرم الشيخ,3,100,3,2,Semi-Finished,1632000,16320,0
APT03162,القاهرة الجديدة,20,110,3,2,Super Lux,4031000,36645,0
APT02660,العاصمة الإدارية,4,70,1,2,Semi-Finished,2257000,32242,0
APT04616,العين السخنة,6,120,3,2,Unfinished,1501000,12508,0
APT04629,الإسكندرية,3,90,3,3,Fully Finished,1418000,15755,0
APT02452,العاصمة الإدارية,9,120,3,2,Semi-Finished,3499000,29158,0
APT02847,الغردقة,20,60,2,2,Unfinished,1362000,22700,0
APT01145,القاهرة,10,120,4,2,Fully Finished,3786000,31550,0
APT03079,شرم الشيخ,9,150,4,2,Unfinished,2926000,19506,0
APT01104,الإسكندرية,8,90,3,2,Semi-Finished,1083000,12033,0
APT01671,الساحل الشمالي,9,70,2,2,Semi-Finished,3252000,46457,0
APT02571,الجيزة,2,90,2,1,Semi-Finished,1143000,12700,0
APT02378,الجيزة,9,150,4,4,Semi-Finished,2439000,16260,0
APT04396,الإسكندرية,9,140,3,2,Fully Finished,2295000,16392,0
APT04258,القاهرة الجديدة,15,140,4,2,Fully Finished,4529000,32350,0
APT03863,الجيزة,4,160,4,2,Semi-Finished,2410000,15062,0
APT02634,القاهرة الجديدة,1,110,2,2,Fully Finished,3721000,33827,0
APT03341,العاصمة الإدارية,9,70,1,1,Semi-Finished,2124000,30342,0
APT02216,شرم الشيخ,3,150,3,2,Super Lux,5575000,37166,0
APT03683,الساحل الشمالي,6,90,2,2,Super Lux,4098000,45533,0
APT04725,الإسكندرية,0,150,4,2,Unfinished,1996000,13306,0
APT01908,الجيزة,10,120,3,3,Semi-Finished,2401000,20008,0
APT00297,شرم الشيخ,9,120,4,3,Unfinished,3978000,33150,0
APT01002,الغردقة,15,110,3,3,Semi-Finished,2419000,21990,0
APT02139,الإسكندرية,6,130,4,4,Unfinished,1691000,13007,0
APT00712,الغردقة,10,120,4,4,Unfinished,3062000,25516,0
APT02802,القاهرة,1,130,4,2,Super Lux,3616000,27815,0
APT02528,العين السخنة,12,120,4,4,Fully Finished,3058000,25483,0
APT03753,القاهرة الجديدة,12,70,1,1,Semi-Finished,1694000,24200,0
APT03322,العين السخنة,7,120,3,3,Super Lux,4218000,35150,0
APT03182,الساحل الشمالي,7,120,3,3,Fully Finished,6476000,53966,0
APT04184,الساحل الشمالي,18,120,3,3,Super Lux,8272000,68933,0
APT01616,القاهرة,1,200,5,4,Fully Finished,5855000,29275,0
APT03025,الساحل الشمالي,10,140,4,3,Semi-Finished,5676000,40542,0
APT01414,الإسكندرية,5,110,2,2,Unfinished,1337000,12154,0
APT00764,القاهرة الجديدة,18,140,3,2,Semi-Finished,3867000,27621,0
APT00656,العاصمة الإدارية,15,120,4,2,Unfinished,3307000,27558,0
APT04798,القاهرة الجديدة,2,110,3,3,Unfinished,2097000,19063,0
APT03850,القاهرة الجديدة,4,70,1,1,Fully Finished,2606000,37228,0
APT04154,شرم الشيخ,5,160,3,3,Super Lux,4997000,31231,0
APT00469,القاهرة الجديدة,10,180,5,3,Fully Finished,6386000,35477,0
APT01296,العين السخنة,15,100,2,2,Super Lux,4785000,47850,0
APT00498,العاصمة الإدارية,20,110,3,2,Fully Finished,4444000,40400,0
APT04741,شرم الشيخ,3,100,3,3,Fully Finished,3386000,33860,0
APT02941,الغردقة,18,110,2,1,Unfinished,1986000,18054,0
APT03457,الغردقة,2,180,4,3,Unfinished,3387000,18816,0
APT00374,القاهرة,5,150,3,3,Semi-Finished,3725000,24833,0
APT01554,الجيزة,4,110,2,2,Unfinished,1805000,16409,0
APT01670,العين السخنة,9,80,3,3,Super Lux,2707000,33837,0
APT02132,الغردقة,20,130,4,3,Super Lux,5522000,42476,0
APT04440,العاصمة الإدارية,8,100,3,2,Semi-Finished,3201000,32010,0
APT00466,شرم الشيخ,0,90,2,1,Fully Finished,2648000,29422,0
APT00932,الجيزة,12,120,4,3,Unfinished,1946000,16216,0
APT01336,العين السخنة,8,80,2,1,Semi-Finished,1522000,19025,0
APT04525,العين السخنة,12,90,3,2,Fully Finished,2062000,22911,0
APT01339,العين السخنة,2,100,2,2,Fully Finished,2608000,26080,0
APT01407,الجيزة,6,120,3,2,Semi-Finished,1437000,11975,0
APT01091,الغردقة,8,70,2,1,Semi-Finished,2183000,31185,0
APT04210,العين السخنة,20,130,3,3,Semi-Finished,2577000,19823,0
APT00743,الجيزة,5,120,4,2,Fully Finished,2946000,24550,0
APT02324,الجيزة,8,130,3,3,Fully Finished,2925000,22500,0
APT03602,القاهرة,1,150,3,3,Fully Finished,4494000,29960,0
APT02124,الجيزة,20,110,2,1,Unfinished,1673000,15209,0
APT02095,الساحل الشمالي,18,100,3,2,Fully Finished,3573000,35730,0
APT02352,شرم الشيخ,4,70,1,2,Unfinished,1070000,15285,0
APT01371,العاصمة الإدارية,15,100,2,2,Semi-Finished,4153000,41530,0
APT01058,العين السخنة,2,100,2,1,Semi-Finished,2723000,27230,0
APT04817,العاصمة الإدارية,0,150,4,4,Fully Finished,4417000,29446,0
APT02281,الساحل الشمالي,5,110,2,2,Semi-Finished,3982000,36200,0
APT04750,العين السخنة,5,110,2,1,Fully Finished,2218000,20163,0
APT02221,الجيزة,7,120,3,3,Semi-Finished,2280000,19000,0
APT04772,العاصمة الإدارية,4,90,2,2,Semi-Finished,3109000,34544,0
APT02820,الساحل الشمالي,4,80,3,3,Fully Finished,2658000,33225,0
APT03151,الجيزة,6,120,3,3,Fully Finished,3194000,26616,0
APT04257,القاهرة,3,120,3,2,Super Lux,5885000,49041,0
APT03108,القاهرة الجديدة,15,60,2,1,Semi-Finished,1604000,26733,0
APT01974,شرم الشيخ,3,200,4,2,Fully Finished,9190000,45950,0
APT01376,القاهرة,5,120,4,4,Fully Finished,2714000,22616,0
APT03969,العين السخنة,5,140,3,3,Semi-Finished,3377000,24121,0
APT04063,شرم الشيخ,20,110,3,3,Unfinished,2040000,18545,0
APT04446,القاهرة,9,100,2,2,Semi-Finished,2016000,20160,0
APT03558,الساحل الشمالي,2,90,3,3,Super Lux,5792000,64355,0
APT00965,العاصمة الإدارية,10,140,4,3,Semi-Finished,4415000,31535,0
APT03699,الساحل الشمالي,18,70,2,1,Semi-Finished,3294000,47057,0
APT03822,الجيزة,2,100,2,1,Unfinished,1732000,17320,0
APT04879,القاهرة,12,130,4,3,Fully Finished,3313000,25484,0
APT03900,الجيزة,15,150,4,2,Semi-Finished,2889000,19260,0
APT04488,العين السخنة,4,90,3,3,Unfinished,1568000,17422,0
APT03239,القاهرة الجديدة,0,100,3,3,Super Lux,4043000,40430,0
APT02975,القاهرة الجديدة,18,100,3,3,Fully Finished,3723000,37230,0
APT03581,الجيزة,12,70,2,1,Fully Finished,1944000,27771,0
APT02888,شرم الشيخ,2,80,3,2,Fully Finished,1877000,23462,0
APT02576,الجيزة,15,180,4,2,Fully Finished,4271000,23727,0
APT01420,الإسكندرية,7,80,3,3,Semi-Finished,1751000,21887,0
APT03908,الغردقة,10,100,3,2,Semi-Finished,2553000,25530,0
APT04674,القاهرة,2,120,4,2,Fully Finished,3082000,25683,0
APT04903,القاهرة الجديدة,18,110,2,1,Semi-Finished,2997000,27245,0
APT01861,الغردقة,5,90,2,2,Fully Finished,2739000,30433,0
APT02895,شرم الشيخ,2,140,3,3,Semi-Finished,3049000,21778,0
APT02848,الجيزة,9,130,4,3,Unfinished,1959000,15069,0
APT03665,شرم الشيخ,1,100,2,2,Fully Finished,3269000,32690,0
APT02105,العاصمة الإدارية,9,140,3,2,Semi-Finished,4146000,29614,0
APT03144,القاهرة الجديدة,2,130,4,2,Fully Finished,4899000,37684,0
APT00842,الساحل الشمالي,8,110,3,2,Super Lux,7237000,65790,0
APT01129,العاصمة الإدارية,15,130,4,4,Semi-Finished,4840000,37230,0
APT03592,الإسكندرية,10,120,3,2,Semi-Finished,1816000,15133,0
APT01053,العين السخنة,4,100,3,2,Fully Finished,2881000,28810,0
APT01591,الجيزة,7,130,3,2,Super Lux,3090000,23769,0
APT03009,شرم الشيخ,15,100,2,2,Super Lux,3961000,39610,0
APT02030,العين السخنة,12,120,3,3,Fully Finished,3783000,31525,0
APT03419,الجيزة,15,110,2,1,Unfinished,1918000,17436,0
APT01808,شرم الشيخ,18,180,6,2,Fully Finished,6895000,38305,0
APT02697,العاصمة الإدارية,0,80,2,2,Fully Finished,2887000,36087,0
APT03040,الجيزة,2,140,3,3,Fully Finished,3211000,22935,0
APT00473,شرم الشيخ,20,120,3,3,Semi-Finished,2603000,21691,0
APT03290,الساحل الشمالي,0,100,3,3,Super Lux,4687000,46870,0
APT04075,شرم الشيخ,4,100,3,3,Super Lux,3864000,38640,0
APT03497,العين السخنة,18,110,2,1,Semi-Finished,2435000,22136,0
APT00280,الغردقة,0,150,3,3,Fully Finished,4826000,32173,0
APT01742,الجيزة,7,130,3,2,Semi-Finished,2557000,19669,0
APT04625,الإسكندرية,12,90,3,3,Semi-Finished,1295000,14388,0
APT02887,الساحل الشمالي,20,90,2,2,Fully Finished,4242000,47133,0
APT01942,شرم الشيخ,20,90,3,3,Fully Finished,2810000,31222,0
APT02805,العاصمة الإدارية,3,120,4,3,Semi-Finished,5325000,44375,0
APT03571,العين السخنة,12,150,4,2,Fully Finished,3037000,20246,0
APT03685,شرم الشيخ,5,140,4,3,Fully Finished,4077000,29121,0
APT03662,العاصمة الإدارية,6,110,2,2,Fully Finished,3776000,34327,0
APT00531,القاهرة الجديدة,10,200,4,3,Fully Finished,6640000,33200,0
APT01887,القاهرة,8,80,2,2,Semi-Finished,1670000,20875,0
APT00682,القاهرة,10,150,3,2,Fully Finished,4759000,31726,0
APT03795,شرم الشيخ,8,120,3,3,Semi-Finished,2317000,19308,0
APT03945,الغردقة,0,120,3,3,Fully Finished,2744000,22866,0
APT04667,العاصمة الإدارية,9,90,2,2,Fully Finished,3353000,37255,0
APT02019,العين السخنة,4,100,2,2,Super Lux,2996000,29960,0
APT01097,الإسكندرية,10,110,3,2,Fully Finished,2440000,22181,0
APT00830,العين السخنة,0,140,4,2,Unfinished,2468000,17628,0
APT02806,الإسكندرية,10,100,2,2,Semi-Finished,1474000,14740,0
APT03830,العين السخنة,10,100,2,1,Super Lux,3454000,34540,0
APT04382,الإسكندرية,15,80,2,1,Unfinished,953000,11912,0
APT03892,القاهرة,10,130,4,4,Unfinished,2547000,19592,0
APT00765,الساحل الشمالي,12,140,3,2,Super Lux,9779000,69850,0
APT02768,الإسكندرية,12,110,2,1,Semi-Finished,1618000,14709,0
APT04329,القاهرة الجديدة,6,110,2,2,Fully Finished,2821000,25645,0
APT03296,العاصمة الإدارية,2,100,2,2,Fully Finished,3781000,37810,0
APT02195,القاهرة الجديدة,9,180,4,4,Super Lux,8731000,48505,0
APT02358,الإسكندرية,6,150,3,2,Semi-Finished,2750000,18333,0
APT03426,القاهرة الجديدة,0,120,3,3,Semi-Finished,2465000,20541,0
APT03980,الساحل الشمالي,9,120,3,3,Fully Finished,5025000,41875,0
APT00912,القاهرة,4,80,2,2,Super Lux,3616000,45200,0
APT03146,الإسكندرية,7,110,2,1,Semi-Finished,1937000,17609,0
APT01000,الإسكندرية,1,140,4,4,Fully Finished,3382000,24157,0
APT03654,الجيزة,0,80,2,1,Fully Finished,2106000,26325,0
APT02484,الغردقة,7,180,5,4,Fully Finished,6373000,35405,0
APT04077,شرم الشيخ,15,100,3,3,Fully Finished,3057000,30570,0
APT02371,العين السخنة,6,70,1,2,Semi-Finished,1464000,20914,0
APT04839,القاهرة الجديدة,6,100,2,1,Fully Finished,3082000,30820,0
APT03790,العاصمة الإدارية,12,110,2,2,Fully Finished,3130000,28454,0
APT01021,القاهرة الجديدة,8,120,4,4,Fully Finished,3954000,32950,0
APT01648,الساحل الشمالي,6,110,2,2,Fully Finished,3912000,35563,0
APT00734,العين السخنة,18,110,2,1,Super Lux,4005000,36409,0
APT04583,الساحل الشمالي,6,250,6,4,Semi-Finished,8884000,35536,0
APT03275,الغردقة,4,110,2,2,Super Lux,4775000,43409,0
APT01621,الغردقة,20,160,3,3,Semi-Finished,3954000,24712,0
APT03136,الجيزة,8,200,5,4,Semi-Finished,3650000,18250,0
APT02690,القاهرة,3,90,3,3,Semi-Finished,2005000,22277,0
APT02708,العين السخنة,0,130,3,3,Fully Finished,2260000,17384,0
APT00298,القاهرة,4,100,3,2,Fully Finished,2752000,27520,0
APT02340,الساحل الشمالي,5,90,3,3,Semi-Finished,3955000,43944,0
APT00654,الإسكندرية,15,120,3,2,Fully Finished,2106000,17550,0
APT03775,الغردقة,4,100,3,2,Unfinished,1961000,19610,0
APT01256,العاصمة الإدارية,9,110,2,1,Semi-Finished,4625000,42045,0
APT04521,القاهرة,12,150,3,3,Fully Finished,5531000,36873,0
APT03277,الغردقة,4,110,2,2,Unfinished,1911000,17372,0
APT03231,الغردقة,1,130,4,4,Fully Finished,2714000,20876,0
APT00692,الجيزة,8,80,2,1,Semi-Finished,1486000,18575,0
APT02755,الجيزة,9,120,4,2,Semi-Finished,2543000,21191,0
APT04864,الساحل الشمالي,15,160,4,3,Fully Finished,6479000,40493,0
APT00970,العين السخنة,6,140,3,3,Fully Finished,3854000,27528,0
APT00634,الغردقة,10,120,3,2,Fully Finished,3077000,25641,0
APT04093,الساحل الشمالي,15,120,3,3,Semi-Finished,4615000,38458,0
APT04078,العين السخنة,2,100,2,1,Semi-Finished,2522000,25220,0
APT01322,الإسكندرية,3,120,4,4,Super Lux,1750000,14583,0
APT01832,القاهرة,0,120,4,2,Unfinished,2735000,22791,0
APT02179,العاصمة الإدارية,6,180,5,2,Fully Finished,6836000,37977,0
APT01418,القاهرة الجديدة,18,160,4,4,Fully Finished,4638000,28987,0
APT01783,القاهرة,20,140,3,3,Semi-Finished,4097000,29264,0
APT04716,الجيزة,0,140,3,2,Semi-Finished,2591000,18507,0
APT04702,العين السخنة,15,90,2,1,Semi-Finished,2241000,24900,0
APT04119,الجيزة,18,90,2,1,Semi-Finished,1604000,17822,0
APT01653,الإسكندرية,2,120,3,2,Super Lux,3035000,25291,0
APT01484,الغردقة,10,90,3,3,Semi-Finished,2178000,24200,0
APT02276,الجيزة,12,100,3,2,Semi-Finished,1522000,15220,0
APT00878,القاهرة الجديدة,0,100,2,2,Super Lux,4383000,43830,0
APT03526,الجيزة,12,120,4,4,Semi-Finished,2186000,18216,0
APT02017,الجيزة,9,110,3,3,Unfinished,1865000,16954,0
APT00427,الجيزة,20,70,2,1,Fully Finished,1508000,21542,0
APT00627,العاصمة الإدارية,7,130,4,3,Fully Finished,5192000,39938,0
APT01590,الجيزة,18,80,3,2,Super Lux,2297000,28712,0
APT02224,شرم الشيخ,9,140,3,3,Super Lux,5565000,39750,0
APT02218,العاصمة الإدارية,7,60,2,1,Semi-Finished,2126000,35433,0
APT04484,العاصمة الإدارية,18,100,3,2,Fully Finished,4269000,42690,0
APT01486,الإسكندرية,15,220,6,4,Semi-Finished,3605000,16386,0
APT01740,الجيزة,15,120,3,2,Semi-Finished,2655000,22125,0
APT02481,القاهرة,6,120,3,3,Fully Finished,3212000,26766,0
APT02585,شرم الشيخ,1,120,3,3,Semi-Finished,3023000,25191,0
APT02894,الغردقة,6,110,2,2,Fully Finished,2814000,25581,0
APT00677,القاهرة,10,130,3,3,Unfinished,3100000,23846,0
APT01262,الساحل الشمالي,3,120,4,4,Super Lux,4882000,40683,0
APT04918,الجيزة,20,130,4,2,Unfinished,2017000,15515,0
APT01834,الجيزة,10,120,4,3,Fully Finished,2801000,23341,0
APT03249,شرم الشيخ,5,140,4,4,Fully Finished,6322000,45157,0
APT01492,القاهرة,18,120,4,2,Fully Finished,3246000,27050,0
APT02728,الساحل الشمالي,1,70,1,1,Super Lux,2909000,41557,0
APT03687,العين السخنة,3,140,3,2,Semi-Finished,2598000,18557,0
APT01425,العاصمة الإدارية,12,150,3,2,Semi-Finished,5097000,33980,0
APT04606,القاهرة,6,80,2,1,Fully Finished,2118000,26475,0
APT04596,شرم الشيخ,18,110,2,2,Semi-Finished,2347000,21336,0
APT00732,الإسكندرية,4,220,5,2,Fully Finished,3428000,15581,0
APT01232,العاصمة الإدارية,10,100,3,3,Semi-Finished,2960000,29600,0
APT01635,الغردقة,20,110,2,1,Fully Finished,2713000,24663,0
APT03937,الساحل الشمالي,8,110,3,3,Fully Finished,4043000,36754,0
APT01211,الجيزة,0,60,2,1,Fully Finished,1380000,23000,0
APT03269,الإسكندرية,10,150,4,4,Semi-Finished,1896000,12640,0
APT01935,القاهرة,8,120,3,2,Unfinished,2433000,20275,0
APT00554,الإسكندرية,1,220,6,2,Fully Finished,4574000,20790,0
APT00492,شرم الشيخ,12,120,4,3,Super Lux,5335000,44458,0
APT02963,الغردقة,0,160,3,3,Semi-Finished,4375000,27343,0
APT02330,الإسكندرية,20,150,3,3,Fully Finished,3148000,20986,0
APT02196,الإسكندرية,15,110,3,2,Fully Finished,1835000,16681,0
APT03065,الغردقة,8,180,6,3,Fully Finished,6276000,34866,0
APT00658,الجيزة,15,90,2,2,Super Lux,2882000,32022,0
APT02375,القاهرة الجديدة,10,60,1,2,Fully Finished,1946000,32433,0
APT02226,القاهرة,1,70,1,2,Unfinished,905000,12928,0
APT04265,الساحل الشمالي,7,110,2,2,Super Lux,6128000,55709,0
APT01171,شرم الشيخ,5,140,4,4,Semi-Finished,2723000,19450,0
APT00472,الإسكندرية,15,90,2,2,Semi-Finished,1443000,16033,0
APT03226,شرم الشيخ,3,120,4,4,Fully Finished,5432000,45266,0
APT01406,القاهرة,20,120,4,3,Fully Finished,3317000,27641,0
APT02877,شرم الشيخ,2,70,1,2,Semi-Finished,1628000,23257,0
APT04505,شرم الشيخ,7,200,6,2,Unfinished,5028000,25140,0
APT04693,القاهرة,0,100,2,2,Fully Finished,3028000,30280,0
APT02827,العاصمة الإدارية,20,110,2,1,Super Lux,6038000,54890,0
APT00288,القاهرة الجديدة,5,120,4,2,Fully Finished,4430000,36916,0
APT01870,العاصمة الإدارية,0,110,3,2,Unfinished,2727000,24790,0
APT03115,الغردقة,12,160,3,3,Semi-Finished,4864000,30400,0
APT03626,شرم الشيخ,12,220,5,4,Unfinished,5720000,26000,0
APT02313,الساحل الشمالي,4,100,2,1,Fully Finished,5496000,54960,0
APT04924,الجيزة,3,110,2,1,Super Lux,3184000,28945,0
APT01619,الساحل الشمالي,5,100,2,1,Fully Finished,3266000,32660,0
APT00995,العاصمة الإدارية,5,120,4,3,Semi-Finished,4401000,36675,0
APT01804,الغردقة,1,120,4,4,Super Lux,2722000,22683,0
APT02643,الساحل الشمالي,10,100,3,2,Super Lux,7668000,76680,0
APT04803,شرم الشيخ,12,100,2,1,Unfinished,2866000,28660,0
APT03536,القاهرة,18,110,3,3,Semi-Finished,3392000,30836,0
APT04832,الساحل الشمالي,5,120,4,3,Fully Finished,5354000,44616,0
APT03912,الساحل الشمالي,6,120,4,2,Super Lux,9362000,78016,0
APT02108,القاهرة,8,160,4,4,Super Lux,3914000,24462,0
APT03045,شرم الشيخ,12,140,4,2,Unfinished,3654000,26100,0
APT00417,شرم الشيخ,7,90,2,2,Semi-Finished,2436000,27066,0
APT00978,القاهرة,5,90,2,2,Super Lux,5216000,57955,0
APT02418,شرم الشيخ,9,100,3,3,Unfinished,1779000,17790,0
APT00506,شرم الشيخ,6,100,2,2,Super Lux,4240000,42400,0
APT04153,القاهرة,8,90,3,3,Fully Finished,2324000,25822,0
APT04256,القاهرة الجديدة,6,140,4,4,Unfinished,3399000,24278,0
APT03942,الإسكندرية,8,130,4,2,Fully Finished,2442000,18784,0
APT00415,الساحل الشمالي,2,120,4,3,Fully Finished,4799000,39991,0
APT04149,الساحل الشمالي,1,90,3,2,Fully Finished,4083000,45366,0
APT01184,الساحل الشمالي,4,80,3,3,Semi-Finished,2674000,33425,0
APT00486,القاهرة الجديدة,10,90,2,2,Semi-Finished,2142000,23800,0
APT00894,الساحل الشمالي,10,130,3,2,Fully Finished,6649000,51146,0
APT00806,الساحل الشمالي,3,130,3,3,Fully Finished,5521000,42469,0
APT00556,شرم الشيخ,9,80,3,2,Semi-Finished,2614000,32675,0
APT03826,الغردقة,10,130,3,3,Fully Finished,5174000,39800,0
APT01198,العاصمة الإدارية,5,110,2,2,Semi-Finished,4237000,38518,0
APT04254,العين السخنة,4,110,2,1,Semi-Finished,2592000,23563,0
APT04059,الإسكندرية,15,130,4,4,Unfinished,1260000,9692,0
APT01294,الساحل الشمالي,6,100,3,3,Fully Finished,4959000,49590,0
APT02222,الجيزة,2,100,3,2,Unfinished,1250000,12500,0
APT03505,العين السخنة,7,220,5,3,Fully Finished,5629000,25586,0
APT03655,الغردقة,15,80,2,1,Unfinished,1793000,22412,0
APT04759,الإسكندرية,4,150,3,2,Fully Finished,2587000,17246,0
APT03007,الغردقة,5,60,2,1,Semi-Finished,2119000,35316,0
APT02094,الجيزة,18,150,4,3,Semi-Finished,2930000,19533,0
APT02188,القاهرة,3,120,3,3,Semi-Finished,1949000,16241,0
APT03037,القاهرة الجديدة,4,100,2,1,Super Lux,4425000,44250,0
APT03919,الإسكندرية,1,120,3,3,Unfinished,1429000,11908,0
APT01273,الجيزة,8,110,3,2,Super Lux,3314000,30127,0
APT00291,الإسكندرية,2,80,2,1,Fully Finished,1492000,18650,0
APT04828,العين السخنة,7,130,4,3,Fully Finished,3315000,25500,0
APT00253,العين السخنة,6,80,3,2,Semi-Finished,1061000,13262,0
APT03246,الغردقة,4,70,2,1,Super Lux,2803000,40042,0
APT00351,شرم الشيخ,5,120,3,3,Fully Finished,3720000,31000,0
APT01188,الإسكندرية,15,90,2,2,Super Lux,2040000,22666,0
APT01962,الغردقة,3,70,2,2,Super Lux,2518000,35971,0
APT00423,الجيزة,7,200,5,4,Fully Finished,4595000,22975,0
APT03730,القاهرة,3,110,3,3,Semi-Finished,2466000,22418,0
APT02237,العين السخنة,1,180,4,3,Fully Finished,4369000,24272,0
APT00671,الإسكندرية,2,60,1,1,Super Lux,1193000,19883,0
APT03041,الجيزة,0,130,3,2,Unfinished,2258000,17369,0
APT00430,العين السخنة,8,90,2,2,Unfinished,1582000,17577,0
APT00684,الإسكندرية,0,130,4,3,Fully Finished,1447000,11130,0
APT04464,القاهرة الجديدة,10,80,2,2,Semi-Finished,2028000,25350,0
APT03946,العين السخنة,8,110,2,1,Super Lux,3683000,33481,0
APT03524,الساحل الشمالي,18,110,2,2,Fully Finished,4778000,43436,0
APT01542,العين السخنة,9,100,3,3,Fully Finished,2763000,27630,0
APT02032,العاصمة الإدارية,0,120,4,3,Semi-Finished,4936000,41133,0
APT02233,الإسكندرية,12,100,2,2,Unfinished,1458000,14580,0
APT04121,شرم الشيخ,9,110,2,2,Super Lux,4050000,36818,0
APT03236,العاصمة الإدارية,4,110,2,1,Semi-Finished,3276000,29781,0
APT00255,القاهرة الجديدة,1,120,4,3,Fully Finished,3679000,30658,0
APT01030,العاصمة الإدارية,10,100,2,1,Semi-Finished,3653000,36530,0
APT04393,القاهرة الجديدة,6,160,3,2,Fully Finished,5488000,34300,0
APT03801,القاهرة,18,200,5,3,Semi-Finished,4994000,24970,0
APT04311,العين السخنة,4,180,4,3,Semi-Finished,4281000,23783,0
APT02510,الجيزة,10,140,3,2,Fully Finished,3039000,21707,0
APT02293,الغردقة,4,110,2,1,Semi-Finished,2512000,22836,0
APT01324,العاصمة الإدارية,1,110,2,1,Fully Finished,3914000,35581,0
APT01551,القاهرة,0,120,3,2,Semi-Finished,1731000,14425,0
APT04648,القاهرة الجديدة,10,110,2,2,Semi-Finished,4199000,38172,0
APT00316,الساحل الشمالي,4,110,2,2,Fully Finished,4563000,41481,0
APT01243,شرم الشيخ,1,130,3,3,Unfinished,2392000,18400,0
APT02451,الساحل الشمالي,1,130,3,2,Fully Finished,5232000,40246,0
APT01579,شرم الشيخ,0,120,3,2,Super Lux,4089000,34075,0
APT04626,العاصمة الإدارية,8,140,3,3,Semi-Finished,6077000,43407,0
APT03117,الساحل الشمالي,7,140,3,3,Semi-Finished,5081000,36292,0
APT00860,الغردقة,0,100,3,2,Fully Finished,2978000,29780,0
APT02754,القاهرة,1,100,3,3,Fully Finished,1760000,17600,0
APT01633,شرم الشيخ,0,100,3,3,Super Lux,4233000,42330,0
APT01651,القاهرة,5,90,2,2,Fully Finished,2594000,28822,0
APT03861,الساحل الشمالي,6,70,1,2,Unfinished,2359000,33700,0
